GeneID:ENTREZ_ID	XB-GENE-XB_GENE_ID
GeneID:100485322	XB-GENE-29077743
GeneID:100485327	XB-GENE-29077747
GeneID:100485335	XB-GENE-29077751
GeneID:100485340	XB-GENE-29077755
GeneID:100485343	XB-GENE-29077759
GeneID:100485347	XB-GENE-29077763
GeneID:100485348	XB-GENE-29077767
GeneID:100485351	XB-GENE-29077771
GeneID:100485355	XB-GENE-29077775
GeneID:100485356	XB-GENE-29077779
GeneID:100485358	XB-GENE-29077783
GeneID:100485372	XB-GENE-29077787
GeneID:100485381	XB-GENE-29077791
GeneID:100485385	XB-GENE-29077795
GeneID:100485394	XB-GENE-29077799
GeneID:100485404	XB-GENE-29077803
GeneID:100485405	XB-GENE-29077807
GeneID:100485409	XB-GENE-29077811
GeneID:100485429	XB-GENE-29077815
GeneID:100485431	XB-GENE-29077819
GeneID:100485453	XB-GENE-29077823
GeneID:100485454	XB-GENE-29077827
GeneID:100485478	XB-GENE-29077831
GeneID:100485482	XB-GENE-29077835
GeneID:100485499	XB-GENE-29077839
GeneID:100485506	XB-GENE-29077843
GeneID:100485511	XB-GENE-29077847
GeneID:100485515	XB-GENE-29077851
GeneID:100485521	XB-GENE-29077855
GeneID:100485533	XB-GENE-29077859
GeneID:100485534	XB-GENE-29077863
GeneID:100485541	XB-GENE-29077867
GeneID:100485548	XB-GENE-29077871
GeneID:100485551	XB-GENE-29077875
GeneID:100485552	XB-GENE-29077879
GeneID:100485553	XB-GENE-29077883
GeneID:100485573	XB-GENE-29077887
GeneID:100485626	XB-GENE-29077891
GeneID:100485630	XB-GENE-29077895
GeneID:100485636	XB-GENE-29077899
GeneID:100485637	XB-GENE-29077903
GeneID:100485649	XB-GENE-29077907
GeneID:100485657	XB-GENE-29077911
GeneID:100485658	XB-GENE-29077915
GeneID:100485665	XB-GENE-29077919
GeneID:100485669	XB-GENE-29077923
GeneID:100485670	XB-GENE-29077927
GeneID:100485680	XB-GENE-29077931
GeneID:100485681	XB-GENE-29077935
GeneID:100485683	XB-GENE-29077939
GeneID:100485686	XB-GENE-29077943
GeneID:100485695	XB-GENE-29077947
GeneID:100485697	XB-GENE-29077951
GeneID:100485704	XB-GENE-29077955
GeneID:100485712	XB-GENE-29077959
GeneID:100485719	XB-GENE-29077963
GeneID:100485723	XB-GENE-29077967
GeneID:100485726	XB-GENE-29077971
GeneID:100485739	XB-GENE-29077975
GeneID:100485740	XB-GENE-29077979
GeneID:100485752	XB-GENE-29077983
GeneID:100485772	XB-GENE-29077987
GeneID:100485774	XB-GENE-29077991
GeneID:100485787	XB-GENE-29077995
GeneID:100485793	XB-GENE-29077999
GeneID:100485794	XB-GENE-29078003
GeneID:100485824	XB-GENE-29078007
GeneID:100485833	XB-GENE-29078011
GeneID:100485840	XB-GENE-29078015
GeneID:100485842	XB-GENE-29078019
GeneID:100485854	XB-GENE-29078023
GeneID:100485856	XB-GENE-29078027
GeneID:100485858	XB-GENE-29078031
GeneID:100485864	XB-GENE-29078035
GeneID:100485872	XB-GENE-29078039
GeneID:100485879	XB-GENE-29078043
GeneID:100485882	XB-GENE-29078047
GeneID:100485897	XB-GENE-29078051
GeneID:100485898	XB-GENE-29078055
GeneID:100485902	XB-GENE-29078059
GeneID:100485927	XB-GENE-29078063
GeneID:100485943	XB-GENE-29078067
GeneID:100485955	XB-GENE-29078071
GeneID:100485969	XB-GENE-29078075
GeneID:100485970	XB-GENE-29078079
GeneID:100485974	XB-GENE-29078083
GeneID:100485975	XB-GENE-29078087
GeneID:100485981	XB-GENE-29078091
GeneID:100485985	XB-GENE-29078095
GeneID:100485991	XB-GENE-29078099
GeneID:100485994	XB-GENE-29078103
GeneID:100485996	XB-GENE-29078107
GeneID:100485997	XB-GENE-29078111
GeneID:100486003	XB-GENE-29078115
GeneID:100486013	XB-GENE-29078119
GeneID:100486017	XB-GENE-29078123
GeneID:100486021	XB-GENE-29078127
GeneID:100486026	XB-GENE-29078131
GeneID:100486030	XB-GENE-29078135
GeneID:100486032	XB-GENE-29078139
GeneID:100486033	XB-GENE-29078143
GeneID:100486035	XB-GENE-29078147
GeneID:100486048	XB-GENE-29078151
GeneID:100486055	XB-GENE-29078155
GeneID:100486059	XB-GENE-29078159
GeneID:100486078	XB-GENE-29078163
GeneID:100486100	XB-GENE-29078167
GeneID:100486117	XB-GENE-29078171
GeneID:100486125	XB-GENE-29078175
GeneID:100486128	XB-GENE-29078179
GeneID:100486129	XB-GENE-29078183
GeneID:100486133	XB-GENE-29078187
GeneID:100486140	XB-GENE-29078191
GeneID:100486142	XB-GENE-29078195
GeneID:100486148	XB-GENE-29078199
GeneID:100486155	XB-GENE-29078203
GeneID:100486156	XB-GENE-29078207
GeneID:100486157	XB-GENE-29078211
GeneID:100486158	XB-GENE-29078215
GeneID:100486161	XB-GENE-29078219
GeneID:100486174	XB-GENE-29078223
GeneID:100486187	XB-GENE-29078227
GeneID:100486201	XB-GENE-29078231
GeneID:100486202	XB-GENE-29078235
GeneID:100486206	XB-GENE-29078239
GeneID:100486213	XB-GENE-29078243
GeneID:100486242	XB-GENE-29078247
GeneID:100486243	XB-GENE-29078251
GeneID:100486247	XB-GENE-29078255
GeneID:100486257	XB-GENE-29078259
GeneID:100486258	XB-GENE-29078263
GeneID:100486268	XB-GENE-29078267
GeneID:100486273	XB-GENE-29078271
GeneID:100486283	XB-GENE-29078275
GeneID:100486289	XB-GENE-29078279
GeneID:100486303	XB-GENE-29078283
GeneID:100486323	XB-GENE-29078287
GeneID:100486333	XB-GENE-29078291
GeneID:100486337	XB-GENE-29078295
GeneID:100486352	XB-GENE-29078299
GeneID:100486357	XB-GENE-29078303
GeneID:100486361	XB-GENE-29078307
GeneID:100486380	XB-GENE-29078311
GeneID:100486384	XB-GENE-29078315
GeneID:100486392	XB-GENE-29078319
GeneID:100486393	XB-GENE-29078323
GeneID:100486419	XB-GENE-29078327
GeneID:100486425	XB-GENE-29078331
GeneID:100486431	XB-GENE-29078335
GeneID:100486435	XB-GENE-29078339
