GeneID:100038300,XB-GENE-984453
GeneID:100038301,XB-GENE-942612
GeneID:100038302,XB-GENE-1014191
GeneID:100038303,XB-GENE-5819952
GeneID:100038304,XB-GENE-478689
GeneID:100038305,NA
GeneID:100038306,XB-GENE-5805950
GeneID:100038818,XB-GENE-6453899
GeneID:100101245,XB-GENE-493757
GeneID:100101655,XB-GENE-493469
GeneID:100101657,XB-GENE-852715
GeneID:100101658,XB-GENE-853166
GeneID:100101659,XB-GENE-854103
GeneID:100101660,XB-GENE-855611
GeneID:100101661,XB-GENE-868385
GeneID:100101662,XB-GENE-876613
GeneID:100101663,XB-GENE-876649
GeneID:100101664,XB-GENE-919773
GeneID:100101665,XB-GENE-919827
GeneID:100101666,XB-GENE-919974
GeneID:100101667,XB-GENE-919985
GeneID:100101668,XB-GENE-920501
GeneID:100101669,XB-GENE-921537
GeneID:100101670,XB-GENE-921780
GeneID:100101671,XB-GENE-921978
GeneID:100101672,XB-GENE-922302
GeneID:100101673,XB-GENE-922526
GeneID:100101674,XB-GENE-922547
GeneID:100101675,XB-GENE-923326
GeneID:100101677,XB-GENE-6258723
GeneID:100101678,XB-GENE-939822
GeneID:100101679,XB-GENE-478094
GeneID:100101680,XB-GENE-478752
GeneID:100101681,XB-GENE-480018
GeneID:100101682,XB-GENE-480893
GeneID:100101683,XB-GENE-484243
GeneID:100101684,XB-GENE-486172
GeneID:100101685,XB-GENE-490704
GeneID:100101686,XB-GENE-493689
GeneID:100101687,XB-GENE-853572
GeneID:100101688,XB-GENE-854457
GeneID:100101689,XB-GENE-862914
GeneID:100101690,XB-GENE-876787
GeneID:100101691,XB-GENE-921479
GeneID:100101692,XB-GENE-478656
GeneID:100101693,XB-GENE-487404
GeneID:100101694,XB-GENE-494512
GeneID:100101695,XB-GENE-489076
GeneID:100101696,XB-GENE-478972
GeneID:100101697,XB-GENE-479210
GeneID:100101698,XB-GENE-479505
GeneID:100101699,XB-GENE-479837
GeneID:100101700,XB-GENE-480304
GeneID:100101701,XB-GENE-480688
GeneID:100101702,XB-GENE-480717
GeneID:100101703,XB-GENE-480993
GeneID:100101704,XB-GENE-481426
GeneID:100101705,XB-GENE-483146
GeneID:100101707,XB-GENE-483812
GeneID:100101708,XB-GENE-482482
GeneID:100101709,XB-GENE-482866
GeneID:100101710,XB-GENE-484153
GeneID:100101711,XB-GENE-484543
GeneID:100101712,XB-GENE-484646
GeneID:100101713,XB-GENE-484669
GeneID:100101715,XB-GENE-485370
GeneID:100101716,XB-GENE-485545
GeneID:100101717,XB-GENE-485735
GeneID:100101718,XB-GENE-485905
GeneID:100101719,XB-GENE-485975
GeneID:100101720,XB-GENE-487299
GeneID:100101721,XB-GENE-487536
GeneID:100101723,XB-GENE-488606
GeneID:100101724,XB-GENE-489160
GeneID:100101725,XB-GENE-489298
GeneID:100101726,XB-GENE-490195
GeneID:100101727,XB-GENE-490606
GeneID:100101728,XB-GENE-490983
GeneID:100101729,XB-GENE-491791
GeneID:100101730,XB-GENE-954971
GeneID:100101731,XB-GENE-492709
GeneID:100101732,XB-GENE-492716
GeneID:100101733,XB-GENE-492836
GeneID:100101735,XB-GENE-919749
GeneID:100101736,XB-GENE-921525
GeneID:100101737,XB-GENE-478600
GeneID:100101738,XB-GENE-489696
GeneID:100101739,XB-GENE-921957
GeneID:100101740,XB-GENE-920564
GeneID:100101741,XB-GENE-481084
GeneID:100101742,XB-GENE-482683
GeneID:100101743,XB-GENE-492943
GeneID:100101744,XB-GENE-493820
GeneID:100101745,XB-GENE-494827
GeneID:100101746,XB-GENE-853290
GeneID:100101748,XB-GENE-866790
GeneID:100101749,XB-GENE-876152
GeneID:100101750,XB-GENE-876850
GeneID:100101751,XB-GENE-876869
GeneID:100101752,XB-GENE-919922
GeneID:100101753,XB-GENE-920068
GeneID:100101754,XB-GENE-921677
GeneID:100101755,XB-GENE-921994
GeneID:100101756,XB-GENE-922120
GeneID:100101757,XB-GENE-922256
GeneID:100101758,XB-GENE-922598
GeneID:100101759,XB-GENE-923338
GeneID:100101761,XB-GENE-478410
GeneID:100101762,XB-GENE-478907
GeneID:100101763,XB-GENE-480152
GeneID:100101764,XB-GENE-481530
GeneID:100101765,XB-GENE-482203
GeneID:100101766,XB-GENE-484602
GeneID:100101767,XB-GENE-486704
GeneID:100101768,XB-GENE-491820
GeneID:100101769,XB-GENE-494709
GeneID:100101770,XB-GENE-853623
GeneID:100101771,XB-GENE-868353
GeneID:100101772,XB-GENE-876375
GeneID:100101773,XB-GENE-920552
GeneID:100101775,XB-GENE-478256
GeneID:100101776,XB-GENE-490615
GeneID:100101777,XB-GENE-493110
GeneID:100101778,XB-GENE-921760
GeneID:100101779,XB-GENE-478265
GeneID:100101781,XB-GENE-480035
GeneID:100101782,XB-GENE-480450
GeneID:100101784,XB-GENE-481504
GeneID:100101785,XB-GENE-481634
GeneID:100101786,XB-GENE-483427
GeneID:100101787,XB-GENE-481766
GeneID:100101788,XB-GENE-484435
GeneID:100101789,XB-GENE-484855
