#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100038036,XB-GENE-480884,ccdc15
GeneID:100038037,XB-GENE-481598,brd2
GeneID:100038038,XB-GENE-482368,sia1
GeneID:100038039,XB-GENE-482566,nr2f2
GeneID:100038040,XB-GENE-483370,gem
GeneID:100038041,NA,LOC100038041
GeneID:100038042,XB-GENE-486033,lemd3
GeneID:100038043,XB-GENE-486491,prkcb
GeneID:100038044,XB-GENE-486846,naa25
GeneID:100038045,XB-GENE-487087,slf2
GeneID:100038047,XB-GENE-492176,riok1
GeneID:100038048,XB-GENE-492646,gpr157
GeneID:100038049,XB-GENE-493308,cdk12
GeneID:100038050,XB-GENE-493422,fgd4
GeneID:100038051,XB-GENE-853455,celsr1
GeneID:100038052,XB-GENE-480836,rara
GeneID:100038053,XB-GENE-482702,prkacb
GeneID:100038054,XB-GENE-487802,cdkn1a
GeneID:100038055,XB-GENE-855791,appl1
GeneID:100038056,XB-GENE-854532,dynll2
GeneID:100038057,XB-GENE-478230,mbip
GeneID:100038058,XB-GENE-478462,hoxd3
GeneID:100038059,XB-GENE-478518,not
GeneID:100038060,XB-GENE-478771,fga
GeneID:100038061,XB-GENE-981363,fanci
GeneID:100038062,XB-GENE-479011,rab2a
GeneID:100038063,XB-GENE-479312,slc12a3l
GeneID:100038065,XB-GENE-479769,eomes
GeneID:100038066,XB-GENE-479795,kng1
GeneID:100038067,XB-GENE-480249,scyl3
GeneID:100038068,XB-GENE-480570,irx4
GeneID:100038069,XB-GENE-481028,emx2
GeneID:100038070,XB-GENE-481100,ptges2
GeneID:100038071,XB-GENE-481219,ccnd2
GeneID:100038072,XB-GENE-481307,smad6
GeneID:100038073,XB-GENE-481474,aqp11
GeneID:100038074,XB-GENE-481654,tnfsf11
GeneID:100038075,XB-GENE-481670,ell2
GeneID:100038077,XB-GENE-482219,nkx2-2
GeneID:100038078,XB-GENE-482248,rcor2
GeneID:100038079,XB-GENE-482721,e2f4
GeneID:100038081,XB-GENE-484162,tcf20
GeneID:100038082,XB-GENE-484322,fzd3
GeneID:100038083,XB-GENE-484400,prrt1
GeneID:100038084,XB-GENE-484527,nkx6-2
GeneID:100038085,XB-GENE-485204,hoxd10
GeneID:100038087,XB-GENE-485597,ccnj
GeneID:100038088,XB-GENE-485691,smad4.1
GeneID:100038089,XB-GENE-485744,vegfa
GeneID:100038090,XB-GENE-486138,hes2
GeneID:100038091,XB-GENE-486445,sox21
GeneID:100038092,XB-GENE-486532,rhd
GeneID:100038093,XB-GENE-486576,grhl1
GeneID:100038094,XB-GENE-486951,nkx2-6
GeneID:100038095,XB-GENE-487210,mcph1
GeneID:100038096,XB-GENE-487236,cux2
GeneID:100038097,XB-GENE-487318,mixer
GeneID:100038098,XB-GENE-487684,ppp1r14c
GeneID:100038099,XB-GENE-488087,hoxa2
GeneID:100038100,XB-GENE-488230,sfrp1
GeneID:100038101,XB-GENE-488758,h3-3b
GeneID:100038102,XB-GENE-488895,rin3
GeneID:100038103,XB-GENE-489238,gjb3
GeneID:100038104,XB-GENE-489355,kifc1
GeneID:100038105,XB-GENE-489416,carhsp1
GeneID:100038107,XB-GENE-489743,tbcb
GeneID:100038108,XB-GENE-22063827,tuba1b
GeneID:100038109,XB-GENE-490341,rbpms2
GeneID:100038110,XB-GENE-490420,dnajc27
GeneID:100038111,XB-GENE-490443,lmnb2
GeneID:100038112,XB-GENE-490827,sugp2
GeneID:100038113,XB-GENE-490846,cuta
GeneID:100038114,XB-GENE-491002,inhba
GeneID:100038115,XB-GENE-491129,sall3
GeneID:100038116,XB-GENE-491338,xpo7
GeneID:100038117,XB-GENE-491475,inka1
GeneID:100038118,XB-GENE-491733,rbm12
GeneID:100038119,XB-GENE-491884,phf1
GeneID:100038120,XB-GENE-492287,ccnl1
GeneID:100038121,XB-GENE-492315,cbx3
GeneID:100038122,XB-GENE-492434,cttn
GeneID:100038123,XB-GENE-492543,tuba1a
GeneID:100038124,XB-GENE-492665,rax
GeneID:100038125,XB-GENE-492753,heca
GeneID:100038126,XB-GENE-492953,daxx
GeneID:100038127,XB-GENE-492963,slc39a7
GeneID:100038128,XB-GENE-493431,sec61b
GeneID:100038129,XB-GENE-493511,coro6
GeneID:100038130,XB-GENE-493540,magoh
GeneID:100038131,XB-GENE-493656,dnajb9
GeneID:100038134,XB-GENE-494053,tubgcp5
GeneID:100038135,XB-GENE-494377,sall2
GeneID:100038136,XB-GENE-494566,dbnl
GeneID:100038137,XB-GENE-494676,sesn3
GeneID:100038138,XB-GENE-494960,sdc1
GeneID:100038139,XB-GENE-495111,tdgf1
GeneID:100038141,XB-GENE-852757,kmt5b
GeneID:100038142,XB-GENE-852930,chn1
GeneID:100038143,XB-GENE-853324,upk3b
GeneID:100038144,XB-GENE-853609,spag1
GeneID:100038145,XB-GENE-854592,hps6
GeneID:100038146,XB-GENE-854737,kif5b
GeneID:100038147,XB-GENE-854791,numb
GeneID:100038148,XB-GENE-854937,cacna2d2
GeneID:100038149,XB-GENE-855803,macroh2a1
GeneID:100038150,XB-GENE-856231,pfdn4
GeneID:100038151,XB-GENE-478280,atat1
GeneID:100038152,XB-GENE-481495,ppard
GeneID:100038154,XB-GENE-478236,ptprs
GeneID:100038155,XB-GENE-478525,hoxb2
GeneID:100038156,XB-GENE-482111,pkd2
GeneID:100038157,XB-GENE-483630,c8g
GeneID:100038158,XB-GENE-488852,msi2
GeneID:100038159,XB-GENE-490490,tbca
GeneID:100038160,XB-GENE-491156,stab2
GeneID:100038161,XB-GENE-492360,mga
GeneID:100038162,XB-GENE-494465,tpi1
GeneID:100038163,XB-GENE-495448,clock
GeneID:100038165,XB-GENE-855756,ahctf1
GeneID:100038167,XB-GENE-479751,zfx
GeneID:100038168,XB-GENE-480112,nr1i2
GeneID:100038169,XB-GENE-481210,zbtb12
GeneID:100038170,XB-GENE-482455,il17rd
GeneID:100038171,XB-GENE-483049,fxyd2
GeneID:100038172,XB-GENE-483750,jak1
GeneID:100038173,XB-GENE-486410,gdpd2
GeneID:100038174,XB-GENE-486525,qki
GeneID:100038176,XB-GENE-489917,cxcr4
GeneID:100038177,XB-GENE-491957,znf608
GeneID:100038178,XB-GENE-492763,sema4d
GeneID:100038179,XB-GENE-493382,pacsin3
GeneID:100038180,XB-GENE-493608,plk4
GeneID:100038181,XB-GENE-853544,baz1b
GeneID:100038182,XB-GENE-856594,sema4g
GeneID:100038183,XB-GENE-482536,nr2c2
GeneID:100038184,XB-GENE-484718,rhobtb1
GeneID:100038185,XB-GENE-491865,btbd2
GeneID:100038186,XB-GENE-495321,pnpla8
GeneID:100038187,XB-GENE-486903,akap17a
GeneID:100038188,XB-GENE-478202,apln
GeneID:100038189,XB-GENE-478355,fgg
GeneID:100038190,XB-GENE-478544,foxe1
GeneID:100038191,XB-GENE-478869,avp
GeneID:100038192,XB-GENE-479027,nkx3-1
GeneID:100038193,XB-GENE-479701,ppp1r2
GeneID:100038194,XB-GENE-481391,smurf2
GeneID:100038195,XB-GENE-481625,epb41
GeneID:100038196,XB-GENE-481907,osr2
GeneID:100038197,XB-GENE-482160,ly6g6c
GeneID:100038198,XB-GENE-482545,trak2
GeneID:100038199,XB-GENE-482911,nelfe
GeneID:100038200,XB-GENE-483338,nfe2l3
GeneID:100038201,XB-GENE-484376,irx5
GeneID:100038202,XB-GENE-484495,pdgfa
GeneID:100038203,XB-GENE-484896,ptges
GeneID:100038204,XB-GENE-485682,diras2
GeneID:100038205,XB-GENE-486113,lhb
GeneID:100038206,XB-GENE-486218,eya3
GeneID:100038207,XB-GENE-486233,skic2
GeneID:100038208,XB-GENE-486817,irx1
GeneID:100038209,XB-GENE-487032,sox5
GeneID:100038210,XB-GENE-487270,syngap1
GeneID:100038211,XB-GENE-487620,mcl1
GeneID:100038212,XB-GENE-487951,pax1
GeneID:100038213,XB-GENE-488406,prcc
GeneID:100038214,XB-GENE-488495,btaf1
GeneID:100038215,XB-GENE-489205,pitpna
GeneID:100038216,XB-GENE-489289,dstn
GeneID:100038217,XB-GENE-489435,rhov
GeneID:100038218,XB-GENE-489644,ttll7
GeneID:100038219,XB-GENE-489677,arvcf
GeneID:100038220,XB-GENE-490387,afap1l1
GeneID:100038221,XB-GENE-490633,gcnt2.2
GeneID:100038222,XB-GENE-490782,hnrnpu
GeneID:100038224,XB-GENE-491846,chek1
GeneID:100038225,XB-GENE-492150,rreb1
GeneID:100038226,XB-GENE-492617,fubp3
GeneID:100038227,XB-GENE-493077,srsf4
GeneID:100038228,XB-GENE-493351,nfkbil1
GeneID:100038229,XB-GENE-493493,rbpms
GeneID:100038230,XB-GENE-493638,eef1e1
GeneID:100038231,XB-GENE-493829,rab6b
GeneID:100038232,XB-GENE-494115,arpc3
GeneID:100038234,XB-GENE-495119,fus
GeneID:100038236,XB-GENE-852771,sftpc
GeneID:100038237,XB-GENE-853274,nipbl
GeneID:100038238,XB-GENE-853430,cebpe
GeneID:100038240,XB-GENE-484563,pik3c2a
GeneID:100038241,XB-GENE-493249,tgfb1i1
GeneID:100038242,XB-GENE-487490,dio3
GeneID:100038243,XB-GENE-488953,thyn1
GeneID:100038244,XB-GENE-489652,slc12a2
GeneID:100038245,XB-GENE-493040,hap1
GeneID:100038251,XB-GENE-995111,btg3
GeneID:100038252,XB-GENE-961516,wwp2
GeneID:100038253,XB-GENE-6044719,znf208
GeneID:100038254,XB-GENE-987516,ero1b
GeneID:100038255,XB-GENE-992697,wwp1
GeneID:100038256,XB-GENE-984521,tfip11
GeneID:100038257,XB-GENE-923183,ap2a1
GeneID:100038258,XB-GENE-946427,lrpap1
GeneID:100038259,XB-GENE-966419,sulf1
GeneID:100038260,XB-GENE-1008447,rfx7
GeneID:100038261,XB-GENE-486595,wnt2
GeneID:100038262,XB-GENE-957194,tmem35a
GeneID:100038263,XB-GENE-5880620,foxl1
GeneID:100038264,XB-GENE-951303,dipk1a
GeneID:100038265,XB-GENE-940117,crebl2
GeneID:100038266,XB-GENE-855781,paip1
GeneID:100038267,XB-GENE-980487,slx4ip
GeneID:100038268,XB-GENE-487643,prkcq
GeneID:100038269,XB-GENE-994663,amer2
GeneID:100038270,XB-GENE-973776,far1
GeneID:100038271,XB-GENE-985346,parp6
GeneID:100038272,XB-GENE-5902338,mrps6
GeneID:100038273,XB-GENE-5919609,hsf2.2
GeneID:100038274,XB-GENE-480800,fzd8
GeneID:100038275,XB-GENE-5860641,mettl21a
GeneID:100038276,XB-GENE-5787238,fam181a
GeneID:100038277,XB-GENE-5954567,col5a1
GeneID:100038278,XB-GENE-5834068,hsd11b1l.2
GeneID:100038279,XB-GENE-5905916,slc16a13
GeneID:100038280,XB-GENE-979137,zdhhc6
GeneID:100038281,XB-GENE-985780,tmem174.2
GeneID:100038282,XB-GENE-982219,slc39a14
GeneID:100038283,XB-GENE-942094,gnai1
GeneID:100038284,XB-GENE-973185,slc25a15.2
GeneID:100038285,XB-GENE-961541,gk
GeneID:100038286,XB-GENE-968597,gng3
GeneID:100038287,XB-GENE-5856115,naa38
GeneID:100038288,XB-GENE-6257957,fosl1
GeneID:100038289,XB-GENE-1001484,pum3
GeneID:100038290,XB-GENE-963757,neurod1
GeneID:100038291,XB-GENE-923171,ncam1
GeneID:100038292,XB-GENE-997654,emilin1
GeneID:100038293,XB-GENE-970178,top2a
GeneID:100038294,XB-GENE-876279,neurog3
GeneID:100038295,XB-GENE-6454709,krtcap2
GeneID:100038297,XB-GENE-957638,cenps
GeneID:100038298,XB-GENE-488164,angptl2
GeneID:100038299,XB-GENE-980129,ints8
GeneID:100038300,XB-GENE-984453,masp1
GeneID:100038301,XB-GENE-942612,kifap3
GeneID:100038302,XB-GENE-1014191,snca
GeneID:100038303,XB-GENE-5819952,mrpl20
GeneID:100038304,XB-GENE-478689,bag6
GeneID:100038305,NA,LOC100038305
GeneID:100038306,XB-GENE-5805950,LOC100038306
GeneID:100038818,XB-GENE-6453899,brca2
GeneID:100101245,XB-GENE-493757,atrip
